pop, ms ,plot,line,y1,y2,x1,x2,tag,notes,id,class.2013,ros1.2013,ros2.2013,fruits.2013,flowers.2013,class.2014,ros1.2014,ros2.2014,fruits.2014,flowers.2014,notes.2014,class.2015,ros1.2015,ros2.2015,fruits.2015,flowers.2015,notes.2015,class.2016,ros1.2016,ros2.2016,fruits.2016,flowers.2016,notes.2016, found.yr 
B42,S,1,1,23.65,,0.12,,,,1,A,2.5,1.5,,1,A,3,2.5,,1,,A,2.5,1.5,5,5,,A,3,1.5,1,4,,2013
B42,S,1,1,23.65,,0.38,,,dead,2,A,3,4,0,9,J,0.5,0.5,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,22.75,,0.96,,,dead,3,J,3.5,3,,,D,,,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,22.2,,0.75,,,img 13:02 stressed,4,A,5,3,1,1,D,,,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,22.3,,1.12,,,dead,5,A,2,2.5,,1,D,,,,,,S,0.5,0.5,,,,D,,,,,,2013
B42,S,1,1,21.36,,0.6,,,,6,A,2,3,,1,D,,,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,20.85,,0.68,,,dead,7,J,2.5,3,,,J,0.5,0.5,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,19.18,,0.47,,,,8,A,3.5,2,2,3,J,4,2,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,16.97,,-0.15,,,,9,J,0.5,0.5,,,J,0.5,0.5,,,,J,0.5,0.5,,,,J,0.5,0.5,,,,2013
B42,S,1,1,16.95,,-0.2,,N,"Up hill, in grass",10,J,0.5,0.5,,,J,0.5,0.5,,,,J,1.5,1,,,,J,1,1,,,,2013
B42,S,1,1,16.91,,-0.5,,,,11,A,4,3,2,2,A,3,4,,4,,J,3,2,,,,A,5,3,3,3,,2013
B42,S,1,1,17.05,,0.6,,,in grass,12,A,7.5,5,,5,A,9,6,,9,,A,6,7,4,5,,D,,,,,,2013
B42,S,1,1,16.17,,-0.11,,,,13,J,0.5,0.5,,,A,1,1,,1,,A,2,1.5,2,2,,A,2.5,2.5,3,3,,2013
B42,S,1,1,16.53,,0.06,,,,14,J,1.5,1.5,,,A,4,3,,4,,D,,,,,,D,,,,,,2013
B42,S,1,1,16.56,,0.33,,,,15,A,4.5,4.5,3,5,A,5,4,,4,,J,2.5,2,,,,D,,,,,,2013
B42,S,1,1,16.8,,0.47,,N,Down hill,16,A,3,3,1,1,A,4,3,,6,,A,2.5,3,3,4,,A,2.5,3,2,2,,2013
B42,S,1,1,15.74,,0.75,,,,17,J,2,1.5,1,1,A,2,1,,2,,A,2.5,2,1,1,,A,2.5,2,2,3,,2013
B42,S,1,1,15.65,,0.93,,,,18,A,4,4,,?,A,4,5,,4,,A,2.5,2.5,3,3,,J,2.5,2.5,,,,2013
B42,S,1,1,11.2,,-0.56,,,,19,A,4.5,5.5,3,3,J,5,6,,,,J,5.5,6,,,,D,,,,,,2013
B42,S,1,1,11.5,,-0.34,,,,20,A,5.5,5.5,7,7,J,6,5,,,,A,5.5,4.5,3,3,,D,,,,,,2013
B42,S,1,1,11.49,,-0.32,,,,21,J,3,3,,,J,0.5,0.5,,,,S,0.5,0.5,,,,J,0.5,0.5,,,,2013
B42,S,1,1,11.48,,-0.37,,,,22,J,0.5,0.5,,,D,,,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,11.42,,-0.4,,N,DH IMG: 1320,23,S,,,,,J,0.5,0.5,,,,S,0.5,0.5,,,,S,0.5,0.5,,,,2013
B42,S,1,1,11.02,,1.07,,,,24,A,6,6,3,3,A,9,7,,12,,A,7,6.5,12,12,,D,,,0,,,2013
B42,S,1,1,11.07,11.09,1.22,1.22,N,close J's N=East,25,J,0.5,0.5,,,A,1,1,,1,,A,2.5,2.5,1,1,,J,0.5,0.5,,,,2013
B42,S,1,1,11.07,,1.22,,,very close J's,26,J,0.5,0.5,,,J,0.5,0.5,,,,,,,,,wrong sp,D,,,,,,2013
B42,S,1,1,7.65,,1.05,,,,27,A,2.5,2,1,1,A,3,4,,3,,J,3,2.5,,,,A,4,4.5,1,1,,2013
B42,S,1,1,6.05,,-1.2,,,,28,A,7,4.5,4,4,A,7,5,0,1,,A,5.5,4,1,1,,D,,,,,,2013
B42,S,1,1,5.9,,-1,,,,29,A,4.5,4.5,1,1,A,7,6,,10,,A,6,6,0,1,,D,,,,,,2013
B42,S,1,1,6.05,,0.77,,,,30,A,2.5,2,2,2,A,4,5,,4,,J,4,3.5,,,,A,4,3.5,5,5,,2013
B42,S,1,1,6.72,,-0.27,,,,31,A,7,4.5,8,8,D,,,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,0.19,,0.58,,N,DH,32,J,2,3.5,,,D,3,1,,,,D,,,,,,D,,,,,,2013
B42,S,1,1,0.2,,0.46,,N,DH,33,A,3,1.5,2,2,J,4,1.5,,,,A,3,2,3,3,,D,,,,,,2013
B42,S,2,1,12.15,,0.91,,,,34,A,3.5,2.5,1,1,A,3.5,5,,6,,A,4.5,2.5,1,1,,D,,,,,,2013
B46,S,1,1,0.95,,-0.85,,,in plant,35,J,0.5,0.5,,,J,0.5,0.5,,,,J,0.5,0.5,,,,A,1.5,1,2,2,,2013
B46,S,1,1,1.21,,-0.03,,,,36,A,1,1,1,1,A,1,2,,2,,A,2,1.5,3,3,,A,2,1,0,2,,2013
B46,S,1,1,2.89,,-0.28,,,,37,A,1.5,1,1,1,A,2,2,,2,,A,2,1.5,1,1,,D,,,,,,2013
B46,S,1,1,2.83,,-0.7,,,,38,A,2.2,2.5,0,2,A,3,4,,4,,D,,,,,,D,,,,,,2013
B46,S,1,1,2.82,,-0.96,,,,39,A,3.5,3.5,0,5,A,5,6,,7,,D,,,,,,D,,,,,,2013
B46,S,1,1,2.9,,-0.68,,B09,Tag to North,40,A,2.5,2.5,,5,A,4,3,,4,,A,6.5,4,13,13,2inds?,D,,,,,,2013
B46,S,1,1,3.04,,-0.23,,,,41,A,2,2,2,2,J,2,1,,,,A,2.5,1.5,3,3,,D,,,,,,2013
B46,S,1,1,3.07,,-0.79,,,,42,A,2.5,2,,2,A,3,3,,3,,A,3,2.5,6,6,,A,4.5,3,6,6,,2013
B46,S,1,1,3.3,,-0.95,,,,43,A,4.5,2.5,,4,A,5,4,,5,,A,4,3,1,2,,J,5.5,4.5,,,,2013
B46,S,1,1,4.68,,-0.45,,,,44,J,0.5,0.5,,,A,1,1,,1,,A,1,1.5,2,2,,A,2,1.5,3,3,,2013
B46,S,1,1,4.75,,-0.48,,,,45,A,2.5,2.5,2,2,A,2,2,,3,,A,1.5,2.5,0,1,,A,4,3,4,4,,2013
B46,S,1,1,4.95,,-0.48,,,,46,A,3,2.5,,4,A,2,3,,5,,A,3.5,3,6,8,,A,3,2,0,2,,2013
B46,S,1,1,5.14,,-0.33,,,,47,A,3,2,0,4,A,2,3,,2,,A,2,2,3,4,,A,3.5,2,0,2,,2013
B46,S,1,1,5.32,,-0.6,,B11,Tag to South,48,S,0.2,0.2,,,J,0.5,0.5,,,,J,0.5,0.5,,,,D,,,,,,2013
B46,S,1,1,5.34,,-0.62,,,,49,J,0.3,0.3,,,A,2,2,,2,,A,2,2,1,2,,A,1,1,1,1,,2013
B46,S,1,1,5.41,,-0.61,,,,50,J,1.5,1.5,,,J,1,2,,,,J,1.5,1,,,,A,3.5,2.5,5,5,,2013
B46,S,1,1,5.43,,-0.25,,,,51,J,1.5,1.5,,,J,2,1,,,,J,2,1,,,,J,2.5,2,,,,2013
B46,S,1,1,5.56,,-0.23,,,,52,A,2.3,2,1,1,A,2,2,,2,,A,2.5,2,,,,J,2,1,,,,2013
B46,S,1,1,5.61,,-0.28,,,,53,J,2,2,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,5.63,,-0.35,,B10,Sprawling Tag south,54,A,9,2.5,3,3,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,5.6,,-0.55,,,,55,J,0.4,0.4,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,5.58,,-0.58,,,,56,J,0.5,0.5,,,A,1,1,,1,,A,1.5,1,1,2,,A,2,2.5,3,3,,2013
B46,S,1,1,5.7,,-0.28,,,,57,A,3.5,3,3,3,A,2,1,,2,,A,2,1.5,1,2,,J,2,1.5,,,,2013
B46,S,1,1,5.75,,-0.33,,,,58,A,2,2,1,1,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,5.8,,-0.37,,,,59,A,3.5,2,2,2,J,2,1,,,,J,2.5,1.5,,,,A,2,2,3,3,,2013
B46,S,1,1,5.89,,-0.34,,,,60,A,1.5,1.5,1,1,D,,,,,,D, ,,,,,D,,,,,,2013
B46,S,1,1,5.85,,-0.13,,,,61,A,4,2,1,1,A,3,2,,4,,A,3,1.5,0,1,,J,3,2.5,,,,2013
B46,S,1,1,5.93,,-0.84,,,,62,A,2.5,2.5,3,3,D,2,2,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,6.1,,-0.45,,,IMG 746,63,J,0.5,0.5,,,A,1,1,,1,,A,1,1,1,1,,A,2,1.5,2,2,,2013
B46,S,1,1,6.2,,-0.1,,,,64,J,1,1,,,A,1,1,,1,,J,1.5,1,,,,A,2.5,2,2,2,,2013
B46,S,1,1,6.35,,-0.1,,,stressed,65,A,3.3,2.5,,1,A,6,3,,1,,A,5,2.5,1,1,looks less stressed 1/5c,D,,,,,,2013
B46,S,1,1,6.59,,-0.1,,,,66,A,1,1,0,1,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,6.67,,-0.12,,,,67,A,11,7,2,8,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,6.71,,-0.08,,,,68,J,0.5,0.5,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,6.95,,-0.08,,,,69,A,2.5,1.7,,1,J,2,1,,,,J,2.5,1.5,,,,J,2.5,1.5,,,,2013
B46,S,1,1,7.05,,-0.38,,N,Nail South of plant,70,A,11,5,9,10,A,4,4,,3,,A,3.5,7,0,5,,D,,,,,,2013
B46,S,1,1,7.39,,-0.3,,,,71,J,0.3,0.3,,,J,0.5,0.5,,,,J,0.5,0.5,,,,D,,,,,,2013
B46,S,1,1,7.35,,-0.35,,,,72,S,0.2,0.2,,,J,0.5,0.5,,,,J,0.5,0.5,,,,J,0.5,0.5,,,,2013
B46,S,1,1,7.29,,-0.3,,,,73,J,1,1,,,A,1,1,,,,J,1,1,,,,J,1,1,,,,2013
B46,S,1,1,7.41,,-0.33,,N,Nail West of plant,74,J,2,1,,,A,2,2,,2,,J,2.5,1.5,,,,J,2.5,1.5,,,,2013
B46,S,1,1,7.42,,-0.26,,,,75,S,0.2,0.2,,,J,0.5,0.5,,,,J,0.5,0.5,,,,J,1,1,,,,2013
B46,S,1,1,7.44,,-0.31,,,,76,J,0.2,0.2,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,7.4,,-0.42,,,,77,A,10.5,8,3,5,D,5,6,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,7.6,,-0.44,,,,78,J,0.3,0.3,,,J,0.5,0.5,,,,J,1,1,,,,J,2,1,,,,2013
B46,S,1,1,7.92,,-0.46,,,,79,A,8,8,,10,A,7,8,,12,,A,7,6,,6,stress,A,7,6,3,3,,2013
B46,S,1,1,7.88,,-0.38,,,,80,J,1,1,,,A,1,1,,1,,J,1,1,,,,A,2,1,1,1,,2013
B46,S,1,1,8.5,,-0.12,,,,81,A,7,4,2,8,A,6,4,,7,,A,3,5,,3,,A,1,1,1,1,,2013
B46,S,1,1,8.78,,-0.07,,,,82,A,2.5,2.5,1,1,A,2,1,,2,,A,2.5,3,0,1,,D,,,,,,2013
B46,S,1,1,8.97,,-0.12,,,,83,J,0.5,0.5,,,A,1,1,,1,,J,1,2,,,,J,1.5,1.5,,,,2013
B46,S,1,1,8.96,,-0.18,,,,84,J,0.5,0.5,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,9.01,,-0.13,,,,85,J,0.5,0.5,,,J,0.5,0.5,,,,J,0.5,0.5,,,,D,,,,,,2013
B46,S,1,1,9.05,,-0.15,,,,86,A,2.5,2.5,1,1,A,3,2,,3,,J,2,3.5,,,,J,3,1.5,,,,2013
B46,S,1,1,9.1,,-0.14,,,,87,J,1.5,1,,,J,2,1,,,,J,1,1.5,,,,J,2,1.5,,,,2013
B46,S,1,1,9.3,,-0.34,,,,88,A,12,4.5,3,6,A,4,4,,5,,J,3.5,2,,,,D,,,,,,2013
B46,S,1,1,9.8,,-0.14,,,,89,J,5,5,,,A,4,4,,6,,A,4,5.5,,2,,J,6,4.5,,,,2013
B46,S,1,1,10.38,,-0.2,,,,90,A,6,4,4,6,A,5,4,,2,,D,,,,,,D,,,,,,2013
B46,S,1,1,10.34,,-0.15,,,,91,A,4,4,2,3,A,4,3,,4,,D,,,,,,D,,,,,,2013
B46,S,1,1,11,,-0.22,,,,92,A,5,5,,7,A,2,1,,2,,J,1,0.5,,,,J,2,1.5,,,,2013
B46,S,1,1,11,,-0.33,,,,93,A,4,4,3,3,A,2,2,,1,,D,,,,,,D,,,,,,2013
B46,S,1,1,10.5,,-0.3,,,,94,J,0.5,0.5,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,11.25,,-0.13,,,,95,A,3,3,,1,A,3,3,,8,,J,4,4,,,,D,,,,,,2013
B46,S,1,1,11.68,,-0.13,,,,96,J,1,1,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,12.1,,-0.26,,,,97,A,3.5,3.5,,3,A,2,2,,1,,J,1.5,1.5,,,,J,3,2,,,,2013
B46,S,1,1,12.35,,-0.07,,,,98,A,3.5,4,,5,A,5,5,,12,,J,4,7,,,,J,4.5,4,,,,2013
B46,S,1,1,12.39,,-0.05,,N,"S of plant, NF",99,J,2.5,2,,,D,,,,,,D,,,,,no nail?,D,,,,,,2013
B46,S,1,1,12.42,,-0.12,,,,100,J,2,1,,,J,1,2,,,,J,2.5,1,,,,D,,,,,,2013
